comment,label
The website crashes frequently when I try to submit important documents. This is causing unnecessary frustration.,complaint
"Every time I try to reach customer support, I get automated responses that do not solve my issue. I need a real person to help me.",complaint
"I have been waiting for my request to be processed for over a month, and there is still no update. The delay is unacceptable.",complaint
The entire process of applying for this service is overly complicated and confusing. It should be made more user-friendly.,complaint
I faced a lot of inconvenience due to the lack of proper communication from the support team. This needs to be addressed urgently.,complaint
Could you please clarify the exact documents required for this process? I want to ensure I submit the right ones.,inquiry
I want to understand the benefits of enrolling in this program. Could you provide a brief explanation?,inquiry
Can you provide details on how long it usually takes to receive a response after submitting a request?,inquiry
Can you tell me if there are any fees associated with this application process? I need to plan my budget accordingly.,inquiry
I am interested in knowing whether I am eligible for this scheme. Could you guide me on the eligibility criteria?,inquiry
The online portal should have a live chat feature for immediate assistance instead of relying only on email support.,suggestion
It would be helpful if there were video tutorials explaining the steps involved in the application process.,suggestion
"The website interface should be improved to be more mobile-friendly, as many users access it via smartphones.",suggestion
Consider introducing a ticketing system where users can track the progress of their queries in real time.,suggestion
Adding an option to upload scanned documents directly from a mobile device would make submissions easier.,suggestion
I had a seamless experience using the new application portal. Everything was well-organized and easy to understand.,compliment
I am impressed by the efficiency of the new document verification process. It was completed much faster than expected.,compliment
The automated email updates about my application status kept me informed at every step. This was very reassuring.,compliment
Kudos to the support team for providing prompt and effective assistance. I am highly satisfied with the service.,compliment
I truly appreciate the quick resolution of my request. The support team was very helpful and professional.,compliment
The roads in our neighborhood are in terrible condition.,complaint
Can we have more frequent bus services during peak hours?,suggestion
What are the timings for the public library?,inquiry
The new park is fantastic! Great job!,compliment
The garbage collection service is very unreliable.,complaint
Adding more pedestrian crossings would improve safety.,suggestion
Where can I find information about property taxes?,inquiry
The city's recycling program is very effective.,compliment
There is a lot of noise pollution from construction sites at night.,complaint
Organizing community clean-up events would help keep the city clean.,suggestion
The public library has an excellent collection of books.,compliment
How can I apply for a parking permit?,inquiry
The park is not maintained properly; there is trash everywhere.,complaint
Please install more streetlights in the downtown area.,suggestion
Is there a plan to renovate the old community center?,inquiry
The police department is doing a great job keeping us safe.,compliment
Public transport is always delayed and overcrowded.,complaint
Can you provide details about the upcoming city council meeting?,inquiry
The public transport system is very efficient and clean.,compliment
The new recycling bins have made a huge difference!,compliment
Why are the streetlights not working in our area?,complaint
Can we have more benches in the park?,suggestion
How do I report a broken traffic signal?,inquiry
The cleanliness of the city has improved significantly.,compliment
The noise from the construction site is unbearable.,complaint
More bike lanes would encourage cycling in the city.,suggestion
What is the process for getting a business license?,inquiry
The new community center is a great addition to the neighborhood.,compliment
The water supply in our area is inconsistent.,complaint
Can we have more public art installations?,suggestion
Where can I find information about local schools?,inquiry
The city's efforts to reduce pollution are commendable.,compliment
The sidewalks are cracked and unsafe to walk on.,complaint
Can we have more public Wi-Fi hotspots?,suggestion
How do I apply for a housing subsidy?,inquiry
The new playground is a hit with the kids!,compliment
The traffic signals at the intersection are not synchronized.,complaint
Can we have more trees planted along the streets?,suggestion
What are the rules for organizing a public event?,inquiry
The city's public gardens are beautifully maintained.,compliment
The potholes on Main Street need to be fixed.,complaint
Can we have more public trash cans in the park?,suggestion
How do I report a stray animal in my neighborhood?,inquiry
The new bike-sharing program is very convenient.,compliment
The streetlights in our area are too dim.,complaint
Can we have more public restrooms in the downtown area?,suggestion
What are the hours for the city's swimming pool?,inquiry
