Feedback_ID,Category,Feedback_Text
1,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
2,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
3,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
4,Complaint,"Streetlights are not maintained, making roads unsafe at night."
5,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
6,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
7,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
8,Complaint,Public parks are not maintained well and are often dirty.
9,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
10,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
11,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
12,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
13,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
14,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
15,Complaint,Public parks are not maintained well and are often dirty.
16,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
17,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
18,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
19,Complaint,Public parks are not maintained well and are often dirty.
20,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
21,Complaint,Public parks are not maintained well and are often dirty.
22,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
23,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
24,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
25,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
26,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
27,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
28,Complaint,"Streetlights are not maintained, making roads unsafe at night."
29,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
30,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
31,Complaint,"Streetlights are not maintained, making roads unsafe at night."
32,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
33,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
34,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
35,Complaint,Public parks are not maintained well and are often dirty.
36,Complaint,Public parks are not maintained well and are often dirty.
37,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
38,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
39,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
40,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
41,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
42,Complaint,Public parks are not maintained well and are often dirty.
43,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
44,Complaint,"Streetlights are not maintained, making roads unsafe at night."
45,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
