Comment,Label
"The condition of the roads in my locality is extremely poor. There are potholes everywhere, making it dangerous for vehicles and pedestrians alike. The authorities must address this immediately. I would appreciate if this could be looked into as soon as possible.",Complaint
There should be a dedicated online portal where citizens can track their grievances and check the status of their complaints. This would really help improve the current system and benefit many people.,Suggestion
"The condition of the roads in my locality is extremely poor. There are potholes everywhere, making it dangerous for vehicles and pedestrians alike. The authorities must address this immediately. I would appreciate if this could be looked into as soon as possible.",Complaint
"I have been facing a severe issue with the electricity supply in my area. Frequent power cuts are causing a lot of inconvenience, and despite multiple complaints, no action has been taken. I would appreciate if this could be looked into as soon as possible.",Complaint
I suggest increasing the number of public libraries in smaller towns to promote education and accessibility to books for students. This would really help improve the current system and benefit many people.,Suggestion
There should be a dedicated online portal where citizens can track their grievances and check the status of their complaints. This would really help improve the current system and benefit many people.,Suggestion
"The online passport application system is extremely efficient and user-friendly. I received my passport without any hassle, and I am very satisfied. Thank you for your continued efforts in improving our country.",Compliment
"Water supply in our area is highly irregular. Sometimes there is no water for days, and when it comes, the quality is very poor. Please resolve this issue at the earliest. I would appreciate if this could be looked into as soon as possible.",Complaint
Could you tell me how to register a new business under the MSME scheme? I need guidance on the process. Kindly let me know if there is any update regarding this.,Inquiry
Kudos to the traffic police for their efforts in maintaining smooth traffic flow in the city. Their hard work is commendable. Thank you for your continued efforts in improving our country.,Compliment
"I have been facing a severe issue with the electricity supply in my area. Frequent power cuts are causing a lot of inconvenience, and despite multiple complaints, no action has been taken. I would appreciate if this could be looked into as soon as possible.",Complaint
Could you please provide the steps to apply for a new Aadhaar card? I am unable to find the correct procedure online. Kindly let me know if there is any update regarding this.,Inquiry
"I have been facing a severe issue with the electricity supply in my area. Frequent power cuts are causing a lot of inconvenience, and despite multiple complaints, no action has been taken. I would appreciate if this could be looked into as soon as possible.",Complaint
"The condition of the roads in my locality is extremely poor. There are potholes everywhere, making it dangerous for vehicles and pedestrians alike. The authorities must address this immediately. I would appreciate if this could be looked into as soon as possible.",Complaint
"The cleanliness drive undertaken by the local authorities has made a noticeable difference. The streets are much cleaner now, and it's great to see such initiatives. Thank you for your continued efforts in improving our country.",Compliment
I would like to express my gratitude to the healthcare workers in government hospitals for providing excellent medical services to citizens. Thank you for your continued efforts in improving our country.,Compliment
